name,warattack_JUL-AUG_2024,clancapital_JUL-AUG_2024,clangames_JUL-AUG_2024,clangamesmaxed_JUL-AUG_2024,clanscore_JUL-AUG_2024,warattack_AUG-SEP_2024,clancapital_AUG-SEP_2024,clangames_AUG-SEP_2024,clangamesmaxed_AUG-SEP_2024,clanscore_AUG-SEP_2024,warattack_SEP-OCT_2024,clancapital_SEP-OCT_2024,clangames_SEP-OCT_2024,clangamesmaxed_SEP-OCT_2024,clanscore_SEP-OCT_2024,warattack_OCT-NOV_2024,clancapital_OCT-NOV_2024,clangames_OCT-NOV_2024,clangamesmaxed_OCT-NOV_2024,clanscore_OCT-NOV_2024,warattack_NOV-DEC_2024,clancapital_NOV-DEC_2024,clangames_NOV-DEC_2024,clangamesmaxed_NOV-DEC_2024,clanscore_NOV-DEC_2024,warattack_DEC-JAN_2025,clancapital_DEC-JAN_2025,clangames_DEC-JAN_2025,clangamesmaxed_DEC-JAN_2025,clanscore_DEC-JAN_2025,warattack_JAN-FEB_2025,clancapital_JAN-FEB_2025,clangames_JAN-FEB_2025,clangamesmaxed_JAN-FEB_2025,clanscore_JAN-FEB_2025,warattack_FEB-MAR_2025,clancapital_FEB-MAR_2025,clangames_FEB-MAR_2025,clangamesmaxed_FEB-MAR_2025,clanscore_FEB-MAR_2025,warattack_MAR-APR_2025,clancapital_MAR-APR_2025,clangames_MAR-APR_2025,clangamesmaxed_MAR-APR_2025,clanscore_MAR-APR_2025,warattack_APR-MAY_2025,clancapital_APR-MAY_2025,clangames_APR-MAY_2025,clangamesmaxed_APR-MAY_2025,clanscore_APR-MAY_2025,warattack_MAY-JUN_2025,clancapital_MAY-JUN_2025,clangames_MAY-JUN_2025,clangamesmaxed_MAY-JUN_2025,clanscore_MAY-JUN_2025,warattack_JUN-JUL_2025,clancapital_JUN-JUL_2025,clangames_JUN-JUL_2025,clangamesmaxed_JUN-JUL_2025,clanscore_JUN-JUL_2025,warattack_JUL-AUG_2025,clancapital_JUL-AUG_2025,clangames_JUL-AUG_2025,clangamesmaxed_JUL-AUG_2025,clanscore_JUL-AUG_2025,warattack_AUG-SEP_2025,clancapital_AUG-SEP_2025,clangames_AUG-SEP_2025,clangamesmaxed_AUG-SEP_2025,clanscore_AUG-SEP_2025,warattack_SEP-OCT_2025,clancapital_SEP-OCT_2025,clangames_SEP-OCT_2025,clangamesmaxed_SEP-OCT_2025,clanscore_SEP-OCT_2025,warattack_OCT-NOV_2025,clancapital_OCT-NOV_2025,clangames_OCT-NOV_2025,clangamesmaxed_OCT-NOV_2025,clanscore_OCT-NOV_2025,warattack_NOV-DEC_2025,clancapital_NOV-DEC_2025,clangames_NOV-DEC_2025,clangamesmaxed_NOV-DEC_2025,clanscore_NOV-DEC_2025,warattack_DEC-JAN_2026,clancapital_DEC-JAN_2026,clangames_DEC-JAN_2026,clangamesmaxed_DEC-JAN_2026,clanscore_DEC-JAN_2026
KAI HIWATARI,17,24,1,0,42,16,30,1,0,47,15,24,1,0,40,16,4,1,0,21,15,30,1,0,46,18,24,1,0,43,15,24,1,0,40,12,30,1,0,43,19,24,1,0,44,19,24,1,0,44,17,26,1,1,45,16,24,1,0,41,14,24,1,0,39,17,30,1,0,48,17,24,1,1,43,15,24,1,1,41,17,30,1,0,48,18,24,1,0,43
Chief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Ballistaaa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
emnil007,7,12,1,0,20,4,4,0,0,8,3,12,1,0,16,3,5,1,0,9,0,6,1,0,7,4,12,1,0,17,3,0,0,0,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7,1,0,0,0,1,1,0,0,0,1
Eleiken,6,12,1,0,19,17,30,1,0,48,17,18,1,0,36,15,18,1,0,34,8,0,1,0,9,7,0,0,0,7,6,6,0,0,12,1,6,0,0,7,4,12,1,0,17,5,12,0,0,17,9,24,1,1,35,6,6,1,0,13,8,12,1,0,21,8,0,1,0,9,13,12,1,1,27,10,18,0,0,28,5,0,1,0,6,1,12,0,0,13
LordHoodAs,16,18,0,0,34,16,29,0,0,45,10,22,1,0,33,6,22,0,0,28,8,9,0,0,17,1,6,0,0,7,2,0,0,0,2,4,19,0,0,23,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
arggggggah,0,18,0,0,18,0,24,0,0,24,0,24,1,0,25,0,23,1,0,24,0,30,0,0,30,0,22,0,0,22,0,24,1,0,25,0,23,0,0,23,0,21,0,0,21,0,24,0,0,24,0,11,0,0,11,0,23,0,0,23,0,24,0,0,24,0,28,0,0,28,0,23,0,0,23,0,23,0,0,23,0,17,0,0,17,0,15,0,0,15
GOD OF UNDEAD,0,6,0,0,6,0,0,0,0,0,0,12,0,0,12,0,11,0,0,11,0,24,0,0,24,0,18,0,0,18,0,6,0,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
devil recite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Noob3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yash,0,18,0,0,18,0,12,0,0,12,2,18,0,0,20,0,18,0,0,18,0,12,0,0,12,0,24,0,0,24,0,18,0,0,18,0,18,0,0,18,0,24,0,0,24,0,12,0,0,12,0,17,0,0,17,0,12,0,0,12,0,23,0,0,23,0,12,0,0,12,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11
Uncle Hope,11,0,0,0,11,5,0,0,0,5,2,0,0,0,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
madsjeet,11,18,0,0,29,10,24,1,0,35,17,18,1,1,37,14,24,0,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lolilabo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TheBluePurge,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Born to be King,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,24,1,1,34,12,29,1,1,43,7,17,1,0,25,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
maviphi,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
VSL_SMIT...√,4,12,1,1,18,0,0,0,0,0,2,24,0,0,26,10,18,0,0,28,0,8,0,0,8,0,6,0,0,6,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
iMojamed,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jacob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gautam,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,8,0,6,0,0,6,0,6,1,0,7,0,15,1,0,16,4,15,0,0,19
Izzmanelham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Joyotri,0,6,0,0,6,4,12,0,0,16,0,12,0,0,12,0,12,0,0,12,3,26,1,0,30,2,2,0,0,4,3,6,1,0,10,0,25,1,1,27,20,23,1,1,45,19,24,0,0,43,4,23,0,0,27,0,12,0,0,12,0,23,1,0,24,10,24,1,0,35,10,24,1,1,36,8,24,1,1,34,12,29,1,1,43,14,24,1,1,40
.Nêmmlm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Díjú bháí,15,23,1,1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MALAY,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
kking,15,18,0,0,33,17,18,0,0,35,10,11,1,0,22,14,24,0,0,38,13,23,0,0,36,7,0,0,0,7,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenoslegod,0,0,0,0,0,3,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pнanтoм,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rydoly,0,24,1,1,26,0,12,0,0,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
carlitos,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
junmel,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Obsidian Matrix,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MASTER SARVESH,0,0,0,0,0,0,0,0,0,0,4,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,6,2,0,1,1,4,1,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
INVECTUS,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
